1週間に何回、運動をしていますか？,1日に摂取する水の量はどのくらいですか？,最も好きな運動は何ですか？,日常生活で心がけている健康習慣はどんなものですか？,睡眠時間は平均して何時間ですか？
4,2.6284705906113324,バスケ,毎日の運動を欠かさない。,13.302333650197559
3,1.690676079337664,テニス,バランスの取れた食事を心がける。,21.55892816706269
4,2.551806306822911,テニス,毎日の水分摂取を確保する。,9.33360706378729
4,1.6325034357130446,サッカー,適切な睡眠時間を確保する。,7.529754094549669
3,2.208212158254344,テニス,ストレスを管理するためにリラックスする時間を持つ。,4.869904678479139
3,2.6692639066069543,テニス,タバコを避ける。,7.643029159685534
0,0.8843366210785232,バスケ,適度なアルコール摂取に留める。,16.008450434313943
5,2.5801321650619853,テニス,規則正しい生活リズムを保つ。,4.526119935594522
1,0.10597540203892797,テニス,フルーツと野菜をバランスよく摂取する。,17.29770201841136
5,2.5334755986688213,テニス,食事をゆっくりと噛むことを心がける。,10.927437419869515
0,1.7007845257282121,バスケ,野菜を主食とする食事を増やす。,16.935299949699875
4,0.7026152574572705,サッカー,糖分を控える。,19.34862375527573
1,2.7473361290496054,テニス,食事の栄養バランスに気を配る。,19.731674342239756
1,2.4269731166863995,サッカー,食事の量を適切にコントロールする。,13.043675919488635
1,2.003276694348785,サッカー,ジャンクフードを控える。,7.778825481632984
4,2.565358445294053,バスケ,カフェイン摂取を制限する。,18.417730449664262
0,1.4806867616145678,サッカー,ウォーキングやストレッチングを日常的に行う。,2.050243344524942
3,2.7226539482066703,テニス,自宅でのトレーニングを取り入れる。,3.9241105476396285
2,2.023370579534221,バスケ,健康的なレシピを探求する。,12.932457664533805
6,0.36234103285438934,テニス,マインドフルネスや瞑想を実践する。,8.540322076215556
2,2.433018692861928,サッカー,ポジティブな人との交流を増やす。,21.83742254928582
5,0.7703461097618348,バスケ,タンパク質をバランスよく摂取する。,20.09271810573859
3,2.819413490137989,テニス,心臓に良い食品を摂取する。,10.397057562629008
6,1.715974604359448,テニス,脂肪分を適度に制限する。,14.810696722481092
0,1.7519167205254673,テニス,魚を食べる習慣をつける。,15.862309799036497
4,2.977303388511372,テニス,遺伝的なリスクを考慮して健康を管理する。,10.369851558078434
6,2.562587949883392,サッカー,定期的な健康チェックアップを受ける。,4.192441453513544
2,1.192425277379764,テニス,ランチを持参して外食を控える。,5.149681749914817
4,0.8953678466928372,バスケ,グルテンや乳製品などの食物アレルギーに注意する。,12.609337641254925
3,0.5880381973193181,バスケ,食物の摂取量を記録することで食事管理を行う。,13.373234035992155
1,2.918346766826131,サッカー,食品のラベルを確認して添加物や糖分を避ける。,16.284856529477896
4,1.1065944171595312,テニス,バランスの良い朝食を摂る。,0.6824679957949433
1,1.6364451542309824,バスケ,食事の時にテレビやスマートフォンを見ないようにする。,14.588020403061446
0,0.45998990705171017,サッカー,毎日のビタミンやサプリメントを摂る。,13.599894444549669
1,0.10863463355271175,サッカー,背中や首の健康を考慮して正しい姿勢を保つ。,4.065740242991694
5,0.4566151961257364,バスケ,歩くことを積極的に促進する。,8.533888588729418
2,2.319719842005987,テニス,エレベーターよりも階段を利用する。,4.881775673965482
0,1.498566379148798,テニス,自転車での通勤を取り入れる。,21.62257149725154
0,0.06592107315016793,サッカー,ランチタイムにストレッチを行う。,16.814033032859207
6,0.4841093892365419,バスケ,インターバルトレーニングを取り入れる。,10.966472744826572
3,0.41465160882006347,バスケ,興味深いレシピを試してみる。,9.30173070311279
0,2.5740205779761376,サッカー,自家製のお菓子やスナックを作る。,1.5708506891346792
1,1.2692865207202058,サッカー,テレビを見ながら軽いエクササイズを行う。,2.377631300877196
4,2.993752162193637,テニス,週に1度は自宅でヨガをする。,12.584722576743776
4,2.842010332227919,サッカー,食物アレルギーの症状をモニタリングする。,1.0012033656839892
2,2.153491150491661,バスケ,毎日のカロリー摂取を把握する。,20.60163411999213
0,2.9254134458080445,バスケ,食事の前にグラス一杯の水を飲む。,5.452798889581226
6,0.7905457417833566,テニス,食事の準備をする際に新鮮な食材を選ぶ。,6.83856315683839
6,0.4945314058194812,サッカー,デスクワーク中にストレッチを取り入れる。,17.023099932788533
5,2.826612148528676,テニス,ジムでのトレーニングを楽しむ。,17.571828098864568
1,0.8705155483579862,バスケ,ウォーキングやランニングのパートナーを見つける。,12.502616486497704
1,1.1879801076128507,テニス,食事の際に楽しい会話をする。,16.005867954285492
0,0.30492111160330326,テニス,自分の食事スケジュールを作成しておく。,13.419799065656896
3,1.3374746828537092,サッカー,忙しい日でも栄養バランスの取れた食事を心がける。,7.149097011868296
6,2.2348114306759075,テニス,家族と一緒に料理をする。,21.73278918974475
4,1.627191503382782,サッカー,体重管理のために食事と運動のバランスを調整する。,11.026408072199784
5,2.377561456211111,バスケ,心理的な健康を重視しストレスを軽減する。,7.257717191696915
3,0.8600636922152575,サッカー,ポジティブな考え方を促進する書籍やポッドキャストを聴く。,2.435692849834161
3,2.3162016476820377,バスケ,趣味や興味を持つことで心の健康を維持する。,17.179117425875496
6,1.0474517156776417,バスケ,健康的なレシピを共有する友人と情報交換をする。,18.71420558275515
1,0.24017660774325456,バスケ,自宅での料理のスキルを向上させるために料理教室に参加する。,19.720021847930774
2,2.68049314559836,バスケ,レストランでの食事の際に健康的な選択をする。,23.470679155866502
2,0.4866914691260631,バスケ,テレビやネットフリックスを見ながらストレッチをする。,4.122231823619031
4,1.8086996334750116,サッカー,足腰の健康を維持するために靴の選択に注意する。,15.985232108116968
4,2.0752355279430974,サッカー,健康的なスナックを常備する。,21.945115912281736
1,1.0986250551862606,サッカー,ダイエットではなく、健康的な食生活を目指す。,22.08865225067069
5,0.5007308888116789,テニス,糖質制限を取り入れる。,23.18246913930561
1,1.6913551688480601,テニス,筋トレを定期的に行う。,12.935072515864416
3,0.5265078009915294,テニス,ソーシャルメディアの使用時間を減らす。,9.82424595731913
3,2.7612935270158045,サッカー,週に1度はランチやディナーを外で楽しむ。,15.215948132144659
4,2.1301395153380183,テニス,定期的に歯医者に行く。,14.443955061401759
3,2.788394723903508,サッカー,健康的な間食を選ぶ。,4.6785416548417595
2,2.3232760137948962,テニス,食事の際に欠かさず飲むことを心がける。,21.797017087253803
2,1.4390414397176619,サッカー,良質なタンパク質源を摂取する。,19.540877692230712
1,0.6616561667317177,サッカー,乳製品の代わりに植物性の食品を選ぶ。,2.100516406520005
6,1.6188490261337136,バスケ,ランチタイムに自然光を浴びる。,4.389675668463683
1,1.1168951671141176,サッカー,健康的な食事をするために食材を自宅で栽培する。,10.993921179819731
1,1.669744360839154,テニス,食事の前に食物の準備をする。,5.208492843903282
6,0.7098552566101319,バスケ,スーパーフードを食事に取り入れる。,21.96095019680483
3,2.818081781332329,バスケ,食事中の飲酒を控える。,23.6486551470781
1,1.2000964877899651,テニス,定期的なストレス解消法を見つける。,10.739259280010668
3,0.6166904728387265,バスケ,自分の健康目標を設定し、追跡する。,13.22425800768871
1,2.7424135471936104,テニス,週に1度はフルーツや野菜だけのデトックスデーを設ける。,4.3491701088177805
2,2.353555702389518,サッカー,食事中に急いで食べない。,19.20901429176599
5,0.27207552500988175,サッカー,早食いを避けるために食事を楽しむ時間を持つ。,16.376394992632328
0,1.0407530688542699,バスケ,定期的にウェイトトレーニングを行う。,23.13013131954549
5,1.8518594789905043,サッカー,一日の摂取カロリーを把握する。,11.99480993582549
2,2.2735129707788877,バスケ,自宅での運動を楽しくするために音楽を聴く。,13.528396953719163
6,0.025474196088053014,サッカー,タンパク質シェイクを飲む。,4.453416114472952
4,0.259866476820924,テニス,ビタミンDを補う。,11.034121135456331
6,2.7002783112386552,バスケ,リラックスするためのホットバスを楽しむ。,15.02811971814865
1,0.6558391997041917,テニス,週に数回、ストレッチやヨガを行う。,12.3308299855539
2,2.3630322025715005,テニス,健康的な食事をするために余分な油を避ける。,12.2891751355318
1,0.028806242880719535,バスケ,毎日のカロリー摂取を記録する。,5.306386447545241
3,0.2869665766878101,バスケ,毎日のストレッチを欠かさない。,12.847421541837605
3,2.850984887381637,テニス,食事の量を減らして食事の頻度を増やす。,4.059685646897676
4,1.7413707563472065,バスケ,食事の際に水を飲むことを習慣化する。,12.457002623519095
0,2.8739479649161925,テニス,健康的な食事をするために食事の準備をする。,7.950637736600668
5,1.4871129314519185,テニス,定期的な運動をするためにスケジュールを作成する。,19.90078570956152
6,0.8575004350241912,バスケ,自分の健康状態を定期的にモニタリングする。,10.047363097229578
